evidence_grade,method,route,observed_role,read_query_observed,mutation_executed,classification,limitations
OBS-NET,POST,/api/auth/user,"인증된 사용자 상태 관련 조회",true,false,"internal SPA endpoint","비공식·변경 가능; request와 response 값 미수집"
OBS-NET,GET,/api/common/menu/auth,"권한별 메뉴 정보 관련 조회",true,false,"internal SPA endpoint","권한 모델이나 role 값 미수집"
OBS-NET,GET,/api/common/menu/tree,"메뉴 트리 관련 조회",true,false,"internal SPA endpoint","공식 sitemap endpoint로 간주하지 않음"
OBS-NET,GET,/api/common/getServerProperties,"화면용 서버 속성 관련 조회",true,false,"internal SPA endpoint","속성 값 미수집"
OBS-NET,GET,/api/login/getSocialKey,"로그인 화면의 소셜 연계 설정 관련 조회",true,false,"internal SPA endpoint","key 또는 설정 값 미수집"
OBS-NET,GET,/api/anals/dashboard/popularity/keywords,"분석 화면의 인기 키워드 관련 조회",true,false,"internal SPA endpoint","응답 값 미수집"
OBS-NET,POST,/api/anals/open-api-apply/list,"Open API 신청 목록 관련 조회",true,false,"internal SPA endpoint","POST지만 정상 UI에서 read query로 관찰; body와 응답 미수집"
OBS-NET,POST,/api/anals/open-api-apply/view,"Open API 신청 상세 관련 조회",true,false,"internal SPA endpoint","POST지만 정상 UI에서 read query로 관찰; body와 응답 미수집"
OBS-NET,POST,/api/anals/open-api/info,"Open API 정보 관련 조회",true,false,"internal SPA endpoint","POST지만 정상 UI에서 read query로 관찰; body와 응답 미수집"
OBS-NET,POST,/api/anals/open-api-apply/logList,"Open API 로그 목록 관련 조회",true,false,"internal SPA endpoint","POST지만 정상 UI에서 read query로 관찰; body와 응답 미수집"
OBS-NET,GET,/api/common/code/getCodeList/ANALS_AUTH_KEY,"분석 API 인증키 관련 코드 목록 조회",true,false,"internal SPA endpoint","코드 값과 key 값 미수집"
OBS-NET,GET,/api/common/code/getCodeList/ANALS_ERR_MSG,"분석 API 오류 메시지 코드 목록 조회",true,false,"internal SPA endpoint","코드 값 미수집"
OBS-NET,GET,/api/search/init,"검색 화면 초기화 정보 조회",true,false,"internal SPA endpoint","공식 metadata export endpoint로 간주하지 않음"
OBS-NET,GET,/api/search/detail/{recordId},"대표 공개 Dataset 상세 조회",true,false,"internal SPA endpoint","field 이름과 구조만 확인; 값·원시 response 미수집"
OBS-NET,GET,/api/support/org/list,"Dataset 상세의 기관 정보 관련 조회",true,false,"internal SPA endpoint","기관·담당자 값 미수집; 공식 기관 registry로 간주하지 않음"
