mapping_id,source_standard_id,source_edition_status,source_clause,source_semantic_item,target_resource,target_property_or_class,mapping_relation,cardinality_status,loss_disposition,evidence_level,conformance_claim,verification_gate,notes,source_cardinality,target_cardinality,target_datatype_or_range,controlled_vocabulary,local_constraint_status,unconstrained_targets,shacl_requirement_ids,positive_fixture_ids,negative_fixture_ids,shape_ids
KR-XW-001,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,resource identity,dcat:Dataset,dct:identifier,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Exact identifier roles and authority scope require lawful clause review.,pending-source-clause,MOLIT-DS-001-P-IDENTIFIER-001=1..1,MOLIT-DS-001-P-IDENTIFIER-001=http://www.w3.org/2001/XMLSchema#string,MOLIT-DS-001-P-IDENTIFIER-001=none,linked,none,MOLIT-DS-001-P-IDENTIFIER-001,POS-CORE-CORE-CATALOG,NEG-MUT-DS-001-P-IDENTIFIER-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DatasetShape
KR-XW-002,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,resource title and abstract,dcat:Dataset,dct:title|dct:description,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Language and multiplicity are not claimed until source clauses are reviewed.,pending-source-clause,MOLIT-DS-001-P-DESCRIPTION-001=1..unbounded|MOLIT-DS-001-P-TITLE-001=1..unbounded,MOLIT-DS-001-P-DESCRIPTION-001=http://www.w3.org/ns/shacl#Literal|MOLIT-DS-001-P-TITLE-001=http://www.w3.org/ns/shacl#Literal,MOLIT-DS-001-P-DESCRIPTION-001=none|MOLIT-DS-001-P-TITLE-001=none,linked,none,MOLIT-DS-001-P-DESCRIPTION-001|MOLIT-DS-001-P-TITLE-001,POS-CORE-CORE-CATALOG,NEG-MUT-DS-001-P-DESCRIPTION-001|NEG-MUT-DS-001-P-TITLE-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DatasetShape
KR-XW-003,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,responsible party and role,dcat:Dataset,dct:publisher|dcat:contactPoint,candidate-related,pending-source-clause,potential-role-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Publisher and contact point do not preserve every source responsibility role.,pending-source-clause,MOLIT-DS-001-P-PUBLISHER-001=1..1|MOLIT-REC-DS-001-P-CONTACTPOINT-001=1..unbounded,MOLIT-DS-001-P-PUBLISHER-001=http://www.w3.org/ns/shacl#IRI&http://xmlns.com/foaf/0.1/Agent|MOLIT-REC-DS-001-P-CONTACTPOINT-001=http://www.w3.org/2006/vcard/ns#Kind,MOLIT-DS-001-P-PUBLISHER-001=none|MOLIT-REC-DS-001-P-CONTACTPOINT-001=none,linked,none,MOLIT-DS-001-P-PUBLISHER-001|MOLIT-REC-DS-001-P-CONTACTPOINT-001,POS-CORE-CORE-CATALOG|POS-PUBLICATION-POLICY-GEO-CATALOG,NEG-MUT-DS-001-P-PUBLISHER-001|NEG-MUT-REC-DS-001-P-CONTACTPOINT-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DatasetContactRecommendation|https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DatasetShape
KR-XW-004,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,temporal extent,dcat:Dataset,dct:temporal,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Open interval and indeterminate-position rules remain pending.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dct:temporal,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-005,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,geographic extent,molit:SpatialDataset,dct:spatial|dcat:bbox|dcat:centroid,candidate-related,pending-source-clause,potential-geometry-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Extent type and disclosure projection require clause and fixture review.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dct:spatial|dcat:bbox|dcat:centroid,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-006,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,reference system,molit:SpatialDataset,geodcatap:referenceSystem,candidate-related,pending-source-clause,potential-axis-loss,E1,informative-pending,BS-CRS-AXIS,Authority code alone does not preserve axis handling or coordinate transformation.,pending-source-clause,MOLIT-GEO-001-P-REFERENCESYSTEM-001=1..unbounded,MOLIT-GEO-001-P-REFERENCESYSTEM-001=http://www.w3.org/2004/02/skos/core#Concept&http://www.w3.org/ns/shacl#IRI,MOLIT-GEO-001-P-REFERENCESYSTEM-001=http://www.opengis.net/def/crs/EPSG/0/3857&http://www.opengis.net/def/crs/EPSG/0/4326&http://www.opengis.net/def/crs/EPSG/0/4737&http://www.opengis.net/def/crs/EPSG/0/5179&http://www.opengis.net/def/crs/EPSG/0/5185&http://www.opengis.net/def/crs/EPSG/0/5186&http://www.opengis.net/def/crs/EPSG/0/5187&http://www.opengis.net/def/crs/EPSG/0/5188&http://www.opengis.net/def/crs/OGC/1.3/CRS84,linked,none,MOLIT-GEO-001-P-REFERENCESYSTEM-001,POS-GEO-GEO-CATALOG,NEG-MUT-GEO-001-P-REFERENCESYSTEM-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#SpatialDatasetShape
KR-XW-007,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,lineage and provenance,dcat:Dataset,dct:provenance,candidate-related,pending-source-clause,potential-structure-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Structured process steps and sources may require a retained source record.,pending-source-clause,MOLIT-REC-DS-001-P-PROVENANCE-001=1..unbounded,MOLIT-REC-DS-001-P-PROVENANCE-001=unconstrained-by-direct-shacl,MOLIT-REC-DS-001-P-PROVENANCE-001=none,linked,none,MOLIT-REC-DS-001-P-PROVENANCE-001,POS-PUBLICATION-POLICY-GEO-CATALOG,NEG-MUT-REC-DS-001-P-PROVENANCE-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DatasetContactRecommendation
KR-XW-008,KS-X-ISO-19115-1,current,PENDING-LAWFUL-FULLTEXT,distribution information,dcat:Distribution,dcat:distribution|dct:format|dcat:accessURL,candidate-related,pending-source-clause,potential-role-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Transfer and distributor roles are not assumed equivalent.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dcat:distribution|dct:format|dcat:accessURL,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-009,KS-X-ISO-19115-2,current,PENDING-LAWFUL-FULLTEXT,acquisition and processing extension,molit:ObservationDataset,dct:provenance|molit:observationSubjectType,candidate-related,pending-source-clause,potential-structure-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,Sensor acquisition details remain in retained source metadata until a reviewed extension mapping exists.,pending-source-clause,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001=1..1|MOLIT-REC-DS-001-P-PROVENANCE-001=1..unbounded,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001=http://www.w3.org/ns/shacl#IRI|MOLIT-REC-DS-001-P-PROVENANCE-001=unconstrained-by-direct-shacl,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001=https://data.molit.go.kr/id/concept/observation-subject-type/area&https://data.molit.go.kr/id/concept/observation-subject-type/facility&https://data.molit.go.kr/id/concept/observation-subject-type/network-element&https://data.molit.go.kr/id/concept/observation-subject-type/section&https://data.molit.go.kr/id/concept/observation-subject-type/site&https://data.molit.go.kr/id/concept/observation-subject-type/vehicle-population|MOLIT-REC-DS-001-P-PROVENANCE-001=none,linked,none,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001|MOLIT-REC-DS-001-P-PROVENANCE-001,POS-OBSERVATION-OBSERVATION-CATALOG|POS-PUBLICATION-POLICY-GEO-CATALOG,NEG-MUT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001|NEG-MUT-REC-DS-001-P-PROVENANCE-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DatasetContactRecommendation|https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ObservationDatasetShape
KR-XW-010,KS-X-ISO-19115-3,current,PENDING-LAWFUL-FULLTEXT,current XML encoding,ingest-lane,canonical-RDF-projection,candidate-transform,pending-source-clause,loss-ledger-required,E2,informative-pending,BS-ISO19115-XML-TECH,Official bytes permission and institutional round-trip fixtures remain unavailable.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,canonical-RDF-projection,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
