source_contract,source_path,target_class,target_property,transformation,target_cardinality,status,publication_gate,notes
platform-metadata-batch/1,recordId,dcat:Dataset,dct:identifier,"preserve sourceSystemId separately; use recordId as scoped literal",1..1,conditional,source-system-scope-required,"recordId alone is not globally unique"
platform-metadata-batch/1,record.title,dcat:Dataset,dct:title,"emit language-tagged @ko literal after language verification",1..n,conditional,korean-language-required,"v1 stores no language tag"
platform-metadata-batch/1,record.description,dcat:Dataset,dct:description,"emit language-tagged @ko literal after language verification",1..n,conditional,korean-language-required,"v1 stores no language tag"
platform-metadata-batch/1,record.publisher.id,foaf:Agent,@id,"resolve through approved organization registry",1..1,conditional,organization-resolution-required,"publisher is not proof of Offering Provider authority"
platform-metadata-batch/1,record.publisher.name,foaf:Agent,foaf:name,"emit @ko after language verification",1..n,conditional,korean-language-required,"personal names are not accepted in the public organization field"
platform-metadata-batch/1,record.themes,dcat:Dataset,dcat:theme,"map every source URI to one EU TRAN or REGI concept plus one MOLIT domain concept",2..n,blocked,controlled-mapping-required,"synthetic vocab.poc.invalid themes cannot be published"
platform-metadata-batch/1,record.keywords,dcat:Dataset,dcat:keyword,"emit language-tagged literals",0..n,conditional,language-verification-required,"deduplicate per language"
platform-metadata-batch/1,record.issuedAt,dcat:Dataset,dct:issued,"convert ISO 8601 date-time to xsd:dateTime",0..1,ready,datatype-validation,"do not replace source issuance with harvest time"
platform-metadata-batch/1,record.modifiedAt,dcat:Dataset,dct:modified,"convert ISO 8601 date-time to xsd:dateTime",1..1,ready,datatype-validation,"catalog record modification time remains separate"
platform-metadata-batch/1,record.landingPage,dcat:Dataset,dcat:landingPage,"emit public HTTPS IRI and type as foaf:Document",0..n,conditional,public-url-required,"internal and authenticated source URLs are excluded"
platform-metadata-batch/1,record.accessRights=open,dcat:Dataset,dct:accessRights,"map to EU access-right/PUBLIC after rights review",1..1,conditional,rights-review,"open transport path does not itself prove public legal access"
platform-metadata-batch/1,record.accessRights=registered,dcat:Dataset,dct:accessRights,"map to EU access-right/RESTRICTED",1..1,conditional,rights-review,"registration requirement is recorded in policy outside DCAT accessRights"
platform-metadata-batch/1,record.accessRights=restricted,dcat:Dataset,dct:accessRights,"map to EU access-right/RESTRICTED",1..1,conditional,rights-review,"purpose and recipient conditions remain in Passport and policy"
platform-metadata-batch/1,record.accessRights=secure,dcat:Dataset,dct:accessRights,"map to EU access-right/RESTRICTED",1..1,conditional,security-review,"secure analysis constraints remain outside public DCAT metadata"
platform-metadata-batch/1,record.accessRights=excluded,dcat:Dataset,dct:accessRights,"map to EU access-right/NON_PUBLIC and suppress public Dataset",1..1,conditional,publication-denied,"inventory may remain private"
platform-metadata-batch/1,record.license,dcat:Distribution,dct:license,"resolve and type as dct:LicenseDocument",0..1,conditional,license-resolution,"Dataset-level source value must be allocated to applicable distributions"
platform-metadata-batch/1,record.rights,dcat:Distribution,dct:rights,"resolve reviewed text to a dct:RightsStatement IRI or blank node",0..n,conditional,rights-review,"do not place an untyped literal directly in dct:rights"
platform-metadata-batch/1,record.distributions[].format,dcat:Distribution,dct:format,"map source code to approved EU File Type IRI",1..1,blocked,file-type-mapping-required,"CSV literal is not a conforming dct:format value"
platform-metadata-batch/1,record.distributions[].mediaType,dcat:Distribution,dcat:mediaType,"preserve verified IANA media type IRI",0..1,conditional,iana-range-validation,"must be typed dct:MediaType in the validation graph"
platform-metadata-batch/1,record.distributions[].sourceBindingRef,none,none,"retain only in private source-binding store",0..0,ready,public-leak-scan,"never serialize to public RDF"
platform-metadata-batch/1,record.distributions[].accessProfile,none,none,"retain in Connector delivery and policy mapping",0..0,ready,dsp-boundary,"an access profile is not a Distribution content schema and is not copied to dct:conformsTo"
platform-metadata-batch/1,record.distributions[].transferFormat,none,none,"retain in Connector transfer mapping",0..0,ready,dsp-boundary,"DSP transfer format is not dct:format"
platform-metadata-batch/1,record.distributions[],dcat:Distribution,dcat:accessURL,"derive only from an approved public access service",1..n,blocked,missing-v1-field,"sourceBindingRef cannot be copied into accessURL"
platform-metadata-batch/1,record.providerParticipantId,none,none,"retain in private Passport and Connector registration",0..0,ready,public-role-review,"publish through qualified attribution only after governance decision"
platform-metadata-batch/1,record.originDataHolderId,none,none,"retain in private Passport; resolve public organization attribution separately",0..0,ready,public-role-review,"do not publish an internal identifier"
platform-metadata-batch/1,record.evidenceIds,none,none,"retain in private provenance and approval registry",0..0,ready,public-leak-scan,"public provenance uses reviewed institution-level statements"
platform-metadata-batch/1,missing,dcat:Catalog,dcat:record,"create CatalogRecord per harvested Dataset",1..n,blocked,mapper-v2-required,"current candidate has no Catalog or CatalogRecord"
