requirementId,conformanceClass,resourceClass,property,obligation,minCount,maxCount,range,controlledVocabulary,severity,messages,remediation,sourceStandard,sourceClause,localRationale,shapeId,shapeFile,constraintKey,positiveFixtureId,negativeFixtureId
MOLIT-CV-CHECKSUM-001,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]","[""http://spdx.org/rdf/terms#Checksum""]",,MUST,,,[],[],Violation,"[{""language"":""ko"",""text"":""체크섬 알고리즘은 SHA-256, SHA-384 또는 SHA-512 SPDX IRI여야 한다.""}]",Correct these constrained path(s) on the target: http://spdx.org/rdf/terms#algorithm; then rerun shape https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ChecksumAlgorithmVocabularyShape.,SPDX 2.3 RDF terms and MOLIT cryptographic baseline,spdx:Checksum algorithm policy,배포 파일 무결성 검증을 SHA-256·SHA-384·SHA-512로 제한한다. 약한 알고리즘이나 이름만 비슷한 IRI는 공개 검증 경로에서 받아들이지 않는다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ChecksumAlgorithmVocabularyShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#node-shape:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23ChecksumAlgorithmVocabularyShape,POS-GEO-GEO-CATALOG,NEG-MUT-CV-CHECKSUM-001-P-ALGORITHM-001
MOLIT-CV-CHECKSUM-002,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]","[""http://spdx.org/rdf/terms#Checksum""]",,MUST,,,[],[],Violation,"[{""language"":""ko"",""text"":""SPDX checksum 값은 선택한 SHA-256·SHA-384·SHA-512의 byte 길이와 일치하는 소문자 16진수여야 한다.""}]","Correct these constrained path(s) on the target: http://spdx.org/rdf/terms#algorithm, http://spdx.org/rdf/terms#checksumValue; then rerun shape https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ChecksumValueLengthShape.",SPDX 2.3 RDF terms and XML Schema hexBinary,spdx:checksumValue length by selected SHA algorithm,선택한 SHA 알고리즘의 byte 길이와 checksumValue의 소문자 16진수 길이를 맞춰 잘린 digest와 알고리즘-값 불일치를 차단한다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ChecksumValueLengthShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#node-shape:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23ChecksumValueLengthShape,POS-GEO-GEO-CATALOG,NEG-MUT-CV-CHECKSUM-001-P-ALGORITHM-001
MOLIT-CV-MEDIATYPE-001,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]",[],,MUST,,,[],[],Violation,"[{""language"":""ko"",""text"":""compression format은 IANA media type IRI여야 한다.""},{""language"":""ko"",""text"":""mediaType, compression format과 packaging format은 dcat:Distribution에만 사용한다.""},{""language"":""ko"",""text"":""mediaType은 IANA media type IRI여야 한다.""},{""language"":""ko"",""text"":""packaging format은 IANA media type IRI여야 한다.""}]","Correct these constrained path(s) on the target: http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/ns/dcat#compressFormat, http://www.w3.org/ns/dcat#mediaType, http://www.w3.org/ns/dcat#packageFormat; then rerun shape https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#IanaMediaTypeVocabularyShape.",DCAT 3 and IANA Media Types registry,"Distribution media type, compression format and package format",전송 형식 식별자는 IANA registry의 정규 media type IRI로 고정한다. 압축·패키지 형식은 실제 운영에서 지원하는 gzip과 ZIP 범위만 공개한다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#IanaMediaTypeVocabularyShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#node-shape:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23IanaMediaTypeVocabularyShape,POS-CORE-CORE-CATALOG,NEG-MUT-CV-MEDIATYPE-001-P-COMPRESSFORMAT-001
MOLIT-CV-CHECKSUM-001-P-ALGORITHM-001,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]","[""http://spdx.org/rdf/terms#Checksum""]",http://spdx.org/rdf/terms#algorithm,MUST,,,"[""http://www.w3.org/ns/shacl#IRI""]","[""http://spdx.org/rdf/terms#checksumAlgorithm_sha256"",""http://spdx.org/rdf/terms#checksumAlgorithm_sha384"",""http://spdx.org/rdf/terms#checksumAlgorithm_sha512""]",Violation,"[{""language"":""ko"",""text"":""체크섬 알고리즘은 SHA-256, SHA-384 또는 SHA-512 SPDX IRI여야 한다.""}]","Use only these allowed value(s) for http://spdx.org/rdf/terms#algorithm: http://spdx.org/rdf/terms#checksumAlgorithm_sha256, http://spdx.org/rdf/terms#checksumAlgorithm_sha384, http://spdx.org/rdf/terms#checksumAlgorithm_sha512. Encode every http://spdx.org/rdf/terms#algorithm value with the required class, datatype, or node kind: http://www.w3.org/ns/shacl#IRI.",SPDX 2.3 RDF terms and MOLIT cryptographic baseline,spdx:algorithm allowlist,checksum 알고리즘 값은 SPDX가 정의한 SHA-256·SHA-384·SHA-512 IRI 중 하나여야 한다. 문자열 별칭과 미등록 알고리즘 IRI는 상호운용 검증에서 제외한다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ChecksumAlgorithmVocabularyShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#property:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23ChecksumAlgorithmVocabularyShape:0001,POS-GEO-GEO-CATALOG,NEG-MUT-CV-CHECKSUM-001-P-ALGORITHM-001
MOLIT-CV-MEDIATYPE-001-P-TYPE-001,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]",[],http://www.w3.org/1999/02/22-rdf-syntax-ns#type,MUST,,,[],"[""http://www.w3.org/ns/dcat#Distribution""]",Violation,"[{""language"":""ko"",""text"":""mediaType, compression format과 packaging format은 dcat:Distribution에만 사용한다.""}]",Ensure http://www.w3.org/1999/02/22-rdf-syntax-ns#type includes the required value(s): http://www.w3.org/ns/dcat#Distribution.,DCAT 3,Distribution media type properties,mediaType·compressFormat·packageFormat은 전송 가능한 dcat:Distribution에만 붙인다. Dataset이나 DataService에 직접 붙인 형식 주장은 배포 단위와 혼동되므로 거부한다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#IanaMediaTypeVocabularyShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#property:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23IanaMediaTypeVocabularyShape:0001,POS-CORE-CORE-CATALOG,NEG-MUT-CV-MEDIATYPE-001-P-TYPE-001
MOLIT-CV-MEDIATYPE-001-P-MEDIATYPE-001,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]",[],http://www.w3.org/ns/dcat#mediaType,MUST,,,"[""http://www.w3.org/ns/shacl#IRI""]","[""https://www.iana.org/assignments/media-types/application/geo+json"",""https://www.iana.org/assignments/media-types/application/gml+xml"",""https://www.iana.org/assignments/media-types/application/gzip"",""https://www.iana.org/assignments/media-types/application/json"",""https://www.iana.org/assignments/media-types/application/ld+json"",""https://www.iana.org/assignments/media-types/application/octet-stream"",""https://www.iana.org/assignments/media-types/application/rdf+xml"",""https://www.iana.org/assignments/media-types/application/xml"",""https://www.iana.org/assignments/media-types/application/zip"",""https://www.iana.org/assignments/media-types/text/csv"",""https://www.iana.org/assignments/media-types/text/turtle""]",Violation,"[{""language"":""ko"",""text"":""mediaType은 IANA media type IRI여야 한다.""}]","Use only these allowed value(s) for http://www.w3.org/ns/dcat#mediaType: https://www.iana.org/assignments/media-types/application/geo+json, https://www.iana.org/assignments/media-types/application/gml+xml, https://www.iana.org/assignments/media-types/application/gzip, https://www.iana.org/assignments/media-types/application/json, https://www.iana.org/assignments/media-types/application/ld+json, https://www.iana.org/assignments/media-types/application/octet-stream, https://www.iana.org/assignments/media-types/application/rdf+xml, https://www.iana.org/assignments/media-types/application/xml, https://www.iana.org/assignments/media-types/application/zip, https://www.iana.org/assignments/media-types/text/csv, https://www.iana.org/assignments/media-types/text/turtle. Encode every http://www.w3.org/ns/dcat#mediaType value with the required class, datatype, or node kind: http://www.w3.org/ns/shacl#IRI.",DCAT 3 and IANA Media Types registry,dcat:mediaType,Distribution의 표현 형식을 IANA registry의 HTTPS IRI로 기록해 Content-Type 매핑과 connector 전송 협상을 같은 식별자로 수행한다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#IanaMediaTypeVocabularyShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#property:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23IanaMediaTypeVocabularyShape:0002,POS-CORE-CORE-CATALOG,NEG-MUT-CV-MEDIATYPE-001-P-MEDIATYPE-001
MOLIT-CV-MEDIATYPE-001-P-COMPRESSFORMAT-001,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]",[],http://www.w3.org/ns/dcat#compressFormat,MUST,,,"[""http://www.w3.org/ns/shacl#IRI""]","[""https://www.iana.org/assignments/media-types/application/gzip"",""https://www.iana.org/assignments/media-types/application/zip""]",Violation,"[{""language"":""ko"",""text"":""compression format은 IANA media type IRI여야 한다.""}]","Use only these allowed value(s) for http://www.w3.org/ns/dcat#compressFormat: https://www.iana.org/assignments/media-types/application/gzip, https://www.iana.org/assignments/media-types/application/zip. Encode every http://www.w3.org/ns/dcat#compressFormat value with the required class, datatype, or node kind: http://www.w3.org/ns/shacl#IRI.",IANA Media Types registry,dcat:compressFormat,압축 형식은 gateway와 connector가 해제 시험을 수행하는 gzip 또는 ZIP IRI로 제한한다. 파일 확장자 문자열은 media type 식별자로 사용하지 않는다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#IanaMediaTypeVocabularyShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#property:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23IanaMediaTypeVocabularyShape:0003,POS-CORE-CORE-CATALOG,NEG-MUT-CV-MEDIATYPE-001-P-COMPRESSFORMAT-001
MOLIT-CV-MEDIATYPE-001-P-PACKAGEFORMAT-001,"[""core"",""dataspace-offering"",""geo"",""network"",""observation"",""quality""]",[],http://www.w3.org/ns/dcat#packageFormat,MUST,,,"[""http://www.w3.org/ns/shacl#IRI""]","[""https://www.iana.org/assignments/media-types/application/gzip"",""https://www.iana.org/assignments/media-types/application/zip""]",Violation,"[{""language"":""ko"",""text"":""packaging format은 IANA media type IRI여야 한다.""}]","Use only these allowed value(s) for http://www.w3.org/ns/dcat#packageFormat: https://www.iana.org/assignments/media-types/application/gzip, https://www.iana.org/assignments/media-types/application/zip. Encode every http://www.w3.org/ns/dcat#packageFormat value with the required class, datatype, or node kind: http://www.w3.org/ns/shacl#IRI.",IANA Media Types registry,dcat:packageFormat,여러 파일을 묶는 패키지 형식은 검증 harness가 해제할 수 있는 gzip 또는 ZIP IRI만 허용한다. 미지원 컨테이너는 후보 release에서 거부한다.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#IanaMediaTypeVocabularyShape,shacl/molit-controlled-vocabularies.ttl,shacl/molit-controlled-vocabularies.ttl#property:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23IanaMediaTypeVocabularyShape:0004,POS-CORE-CORE-CATALOG,NEG-MUT-CV-MEDIATYPE-001-P-PACKAGEFORMAT-001
MOLIT-PROFILE-CORE-001,"[""core""]","[""http://www.w3.org/ns/dcat#Catalog""]",,MUST,,,[],[],Violation,"[{""language"":""ko"",""text"":""Core 카탈로그에는 Core release IRI만 metadata profile marker로 지정해야 한다.""}]",Correct these constrained path(s) on the target: http://purl.org/dc/terms/conformsTo; then rerun shape https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreCatalogProfileShape.,MOLIT DCAT-AP 1.0 core profile module,MOLIT-PROFILE-CORE-001,Executable local constraint in shacl/molit-core-profile.ttl; the source clause and fixture links are reviewed separately.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreCatalogProfileShape,shacl/molit-core-profile.ttl,shacl/molit-core-profile.ttl#node-shape:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23CoreCatalogProfileShape,POS-CORE-CORE-CATALOG,NEG-MUT-PROFILE-CORE-001-P-CONFORMSTO-001
MOLIT-PROFILE-CORE-002,"[""core""]","[""http://www.w3.org/ns/dcat#CatalogRecord""]",,MUST,,,[],[],Violation,"[{""language"":""ko"",""text"":""Core CatalogRecord에는 Core release IRI만 metadata profile marker로 지정해야 한다.""}]",Correct these constrained path(s) on the target: http://purl.org/dc/terms/conformsTo; then rerun shape https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreCatalogRecordProfileShape.,MOLIT DCAT-AP 1.0 core profile module,MOLIT-PROFILE-CORE-002,Executable local constraint in shacl/molit-core-profile.ttl; the source clause and fixture links are reviewed separately.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreCatalogRecordProfileShape,shacl/molit-core-profile.ttl,shacl/molit-core-profile.ttl#node-shape:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23CoreCatalogRecordProfileShape,POS-CORE-CORE-CATALOG,NEG-MUT-PROFILE-CORE-002-P-CONFORMSTO-001
MOLIT-PROFILE-SELECTION-MARKER-001,"[""core""]","[""https://data.molit.go.kr/def/molit-dcat-ap#NetworkDataset"",""https://data.molit.go.kr/def/molit-dcat-ap#SpatialDataset""]",,MUST-NOT,,,[],[],Violation,"[{""language"":""ko"",""text"":""국토교통 공간 유형·property, GeoDCAT-AP property 또는 LOCN geometry를 사용한 graph는 Geo subprofile로 검증해야 한다.""}]",Remove the class or property that activates prohibited shape https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreRejectsGeoProfileSubjectShape; route spatial content to the geo or network conformance module.,MOLIT DCAT-AP 1.0 core profile module,MOLIT-PROFILE-SELECTION-MARKER-001,Executable local constraint in shacl/molit-core-profile.ttl; the source clause and fixture links are reviewed separately.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreRejectsGeoProfileSubjectShape,shacl/molit-core-profile.ttl,shacl/molit-core-profile.ttl#node-shape:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23CoreRejectsGeoProfileSubjectShape,POS-CORE-CORE-CATALOG,NEG-MUT-PROFILE-SELECTION-MARKER-001
MOLIT-PROFILE-SELECTION-GEOSPARQL-001,"[""core""]","[""http://www.opengis.net/ont/geosparql#Feature"",""http://www.opengis.net/ont/geosparql#FeatureCollection"",""http://www.opengis.net/ont/geosparql#Geometry"",""http://www.opengis.net/ont/geosparql#GeometryCollection"",""http://www.opengis.net/ont/geosparql#SpatialObject"",""http://www.opengis.net/ont/geosparql#SpatialObjectCollection""]",,MUST-NOT,,,[],[],Violation,"[{""language"":""ko"",""text"":""GeoSPARQL 1.1 class 또는 property를 사용한 graph는 Geo subprofile로 검증해야 한다.""}]",Remove the class or property that activates prohibited shape https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreRejectsGeoSparql11Shape; route spatial content to the geo or network conformance module.,MOLIT DCAT-AP 1.0 core profile module,MOLIT-PROFILE-SELECTION-GEOSPARQL-001,Executable local constraint in shacl/molit-core-profile.ttl; the source clause and fixture links are reviewed separately.,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CoreRejectsGeoSparql11Shape,shacl/molit-core-profile.ttl,shacl/molit-core-profile.ttl#node-shape:https%3A%2F%2Fdata.molit.go.kr%2Fshape%2Fmolit-dcat-ap%2F1.0.0-rc.1%23CoreRejectsGeoSparql11Shape,POS-CORE-CORE-CATALOG,NEG-MUT-PROFILE-SELECTION-GEOSPARQL-001
